時間,個数,日付
00時,5,2023/05/01
01時,3,2023/05/01
02時,2,2023/05/01
03時,1,2023/05/01
04時,2,2023/05/01
05時,2,2023/05/01
06時,13,2023/05/01
07時,3,2023/05/01
08時,14,2023/05/01
09時,1,2023/05/01
10時,2,2023/05/01
11時,2,2023/05/01
12時,2,2023/05/01
13時,2,2023/05/01
14時,2,2023/05/01
15時,28,2023/05/01
16時,22,2023/05/01
17時,31,2023/05/01
18時,18,2023/05/01
19時,10,2023/05/01
20時,2,2023/05/01
21時,20,2023/05/01
22時,20,2023/05/01
23時,5,2023/05/01
00時,5,2023/05/02
01時,1,2023/05/02
02時,2,2023/05/02
03時,8,2023/05/02
04時,27,2023/05/02
05時,25,2023/05/02
06時,22,2023/05/02
07時,12,2023/05/02
08時,3,2023/05/02
09時,12,2023/05/02
10時,8,2023/05/02
11時,2,2023/05/02
12時,10,2023/05/02
13時,14,2023/05/02
14時,8,2023/05/02
15時,12,2023/05/02
16時,574,2023/05/02
17時,5,2023/05/02
18時,15,2023/05/02
19時,8,2023/05/02
20時,10,2023/05/02
21時,4,2023/05/02
22時,0,2023/05/02
23時,1,2023/05/02
00時,5,2023/05/03
01時,6,2023/05/03
02時,9,2023/05/03
03時,24,2023/05/03
04時,8,2023/05/03
05時,26,2023/05/03
06時,2,2023/05/03
07時,2,2023/05/03
08時,1,2023/05/03
09時,2,2023/05/03
10時,2,2023/05/03
11時,16,2023/05/03
12時,1,2023/05/03
13時,20,2023/05/03
14時,2,2023/05/03
15時,1,2023/05/03
16時,1,2023/05/03
17時,14,2023/05/03
18時,14,2023/05/03
19時,20,2023/05/03
20時,2,2023/05/03
21時,3,2023/05/03
22時,1,2023/05/03
23時,2,2023/05/03
00時,1,2023/05/04
01時,7,2023/05/04
02時,4,2023/05/04
03時,1,2023/05/04
04時,10,2023/05/04
05時,2,2023/05/04
06時,14,2023/05/04
07時,1,2023/05/04
08時,17,2023/05/04
09時,8,2023/05/04
10時,3,2023/05/04
11時,26,2023/05/04
12時,2,2023/05/04
13時,29,2023/05/04
14時,21,2023/05/04
15時,3,2023/05/04
16時,4,2023/05/04
17時,14,2023/05/04
18時,3,2023/05/04
19時,6,2023/05/04
20時,4,2023/05/04
21時,5,2023/05/04
22時,9,2023/05/04
23時,4,2023/05/04
00時,5,2023/05/05
01時,36,2023/05/05
02時,6,2023/05/05
03時,16,2023/05/05
04時,15,2023/05/05
05時,2,2023/05/05
06時,1,2023/05/05
07時,15,2023/05/05
08時,11,2023/05/05
09時,22,2023/05/05
10時,2,2023/05/05
11時,1,2023/05/05
12時,3,2023/05/05
13時,5,2023/05/05
14時,21,2023/05/05
15時,19,2023/05/05
16時,1,2023/05/05
17時,8,2023/05/05
18時,5,2023/05/05
19時,2,2023/05/05
20時,19,2023/05/05
21時,32,2023/05/05
22時,22,2023/05/05
23時,2,2023/05/05
00時,3,2023/05/06
01時,14,2023/05/06
02時,9,2023/05/06
03時,1,2023/05/06
04時,2,2023/05/06
05時,4,2023/05/06
06時,10,2023/05/06
07時,4,2023/05/06
08時,13,2023/05/06
09時,26,2023/05/06
10時,19,2023/05/06
11時,12,2023/05/06
12時,37,2023/05/06
13時,44,2023/05/06
14時,13,2023/05/06
15時,15,2023/05/06
16時,9,2023/05/06
17時,6,2023/05/06
18時,3,2023/05/06
19時,4,2023/05/06
20時,4,2023/05/06
21時,13,2023/05/06
22時,23,2023/05/06
23時,8,2023/05/06
00時,41,2023/05/07
01時,21,2023/05/07
02時,13,2023/05/07
03時,2,2023/05/07
04時,5,2023/05/07
05時,6,2023/05/07
06時,15,2023/05/07
07時,2,2023/05/07
08時,1,2023/05/07
09時,9,2023/05/07
10時,27,2023/05/07
11時,26,2023/05/07
12時,20,2023/05/07
13時,23,2023/05/07
14時,21,2023/05/07
15時,29,2023/05/07
16時,10,2023/05/07
17時,2,2023/05/07
18時,1,2023/05/07
19時,2,2023/05/07
20時,16,2023/05/07
21時,8,2023/05/07
22時,28,2023/05/07
23時,4,2023/05/07
00時,8,2023/05/08
01時,5,2023/05/08
02時,2,2023/05/08
03時,3,2023/05/08
04時,4,2023/05/08
05時,7,2023/05/08
06時,4,2023/05/08
07時,29,2023/05/08
08時,8,2023/05/08
09時,17,2023/05/08
10時,9,2023/05/08
10時,9,2023/05/08
11時,18,2023/05/08
12時,6,2023/05/08
13時,10,2023/05/08
14時,17,2023/05/08
15時,25,2023/05/08
16時,4,2023/05/08
17時,5,2023/05/08
18時,11,2023/05/08
19時,5,2023/05/08
20時,9,2023/05/08
21時,4,2023/05/08
22時,12,2023/05/08
23時,4,2023/05/08
00時,1,2023/05/09
01時,7,2023/05/09
02時,11,2023/05/09
03時,3,2023/05/09
04時,3,2023/05/09
05時,3,2023/05/09
06時,3,2023/05/09
07時,3,2023/05/09
08時,4,2023/05/09
09時,27,2023/05/09
